XPATH;ORIGINALTXT;TRANSLATEDTXT
"//catalog/category[attribute::category-id=""epilation-lumiere-pulsee-homme""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Obtenez un torse imberbe sans douleur et en un rien de temps grâce à nos épilateurs à lumière pulsée. Grâce à sa technologie révolutionnaire, domptez durablement votre pilosité sans vous rendre à l'institut.;Obtén un torso suave y sin dolor en un abrir y cerrar de ojos con nuestras depiladoras de luz pulsada. Gracias a su revolucionaria tecnología, puedes controlar tu vello de forma duradera sin tener que ir al centro de belleza.
"//catalog/category[attribute::category-id=""epilation-lumiere-pulsee-homme""]/display-name[attribute::xml:lang=""fr-FR""]";Epilation à lumière pulsée;Depilación con luz pulsada
"//catalog/category[attribute::category-id=""epilation-lumiere-pulsee-homme""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos épilateurs lumière pulsee : épilation corps homme, épilation semi permanente, skin sensor - Epilation 0 douleurs, durable et ultra-rapide !;Descubre nuestras depiladoras con luz pulsada: depilación del cuerpo masculino, depilación semipermanente, skin sensor - Depilación sin dolor, ¡duradera y ultrarrápida!
"//catalog/category[attribute::category-id=""epilation-lumiere-pulsee-homme""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Epilateur à lumière pulsée Homme - BaByliss For Men;Depiladora con luz pulsada para hombre - BaByliss Men
"//catalog/category[attribute::category-id=""femme""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"<p>
<a class=""banner-link js-gtm-push"" href=""$httpsUrl('Product-Show', 'pid', 'DIGITALSENSOR6500')$"" data-gtm-pushtype=""Push Product Top"">

<img alt=""curl secret C1300"" src=""images/encart_nav6500e.jpg?$staticlink$"" title=""digital sensor "" /></a>

<a class=""banner-link js-gtm-push"" href=""$httpsUrl('Product-Show', 'pid', 'HEROST495E')$"" data-gtm-pushtype=""Push Product Bottom"">

<img alt=""st495 steam pure"" src=""images/encart_nav_st495.png?$staticlink$"" title=""steam pure "" /></a>


</p>";"<p>
<a class=""banner-link js-gtm-push"" href=""$httpsUrl('Product-Show', 'pid', 'DIGITALSENSOR6500')$"" data-gtm-pushtype=""Push Product Top"">

<img alt=""curl secret C1300"" src=""images/encart_nav6500e.jpg?$staticlink$"" title=""digital sensor "" /></a>

<a class=""banner-link js-gtm-push"" href=""$httpsUrl('Product-Show', 'pid', 'HEROST495E')$"" data-gtm-pushtype=""Push Product Bottom"">

<img alt=""st495e steam pure"" src=""images/encart_nav_st495.png?$staticlink$"" title=""steam pure "" /></a>


</p>"
"//catalog/category[attribute::category-id=""femme""]/display-name[attribute::xml:lang=""fr-FR""]";La femme;Mujer
"//catalog/category[attribute::category-id=""femme""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez tout l'univers femme BaByliss : solutions professionnelles pour la coiffure, l'épilation et le maquillage;Descubre todo el universo mujer BaByliss: soluciones profesionales para el cuidado y la belleza en pelo, la depilación y el maquillaje
"//catalog/category[attribute::category-id=""femme""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";BaByliss : LA référence coiffure, épilation et beauté pour femme;BaByliss: la marca de referencia de pelo, depilación y la belleza de mujer
"//catalog/category[attribute::category-id=""fer-a-boucler""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Boucler ses cheveux n'a jamais été aussi simple et rapide <br/>qu'avec nos fers à friser. Créez des ondulations sophistiquées ou des <br/>boucles naturelles avec nos boucleurs ionique ou à vapeur. <br/>Quelle que soit votre nature ou longueur de cheveux, vous <br/>trouverez le modèle qui vous convient.;Rizar el pelo nunca ha sido tan fácil y rápido <br/>como con nuestros rizadores. Crea unas ondas sofisticadas o unos <br/>rizos naturales con nuestras tenacillas iónicas o de vapor. <br/>Sea cual sea el tipo de cabello o su tamaño, <br/>encontrarás el modelo que necesitas.
"//catalog/category[attribute::category-id=""fer-a-boucler""]/display-name[attribute::xml:lang=""fr-FR""]";Fers à boucler;Tenacillas
"//catalog/category[attribute::category-id=""fer-a-boucler""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos fers à boucler : fer à boucler conique, fer à boucler gros diamètre, fer à boucler pro... Osez les boucles glamours !;Descubre nuestras tenacillas: tenacillas cónicas, tenacillas con diámetro grande, tenacillas profesionales... ¡Atrévete con unos rizos glamurosos!
"//catalog/category[attribute::category-id=""fer-a-boucler""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Fer à boucler : Découvrez notre gamme - BaByliss Paris;Tenacillas: Descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""homme""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"<p><a class=""banner-link js-gtm-push"" href=""$httpsUrl('Product-Show', 'pid', 'pro45intense')$"" data-gtm-pushtype=""Push Product Top""><img alt="""" src=""images/E980E_E985E.png?$staticlink$"" title=""Le Designer"" /></a> <a class=""banner-link js-gtm-push"" href=""$httpsUrl('Search-Show', 'q', 'T839E')$"" data-gtm-pushtype=""Push Product Bottom""><img alt="""" src=""images/T839E_nav.png?$staticlink$"" title=""T839E"" /></a></p>";"<p><a class=""banner-link js-gtm-push"" href=""$httpsUrl('Product-Show', 'pid', 'pro45intense')$"" data-gtm-pushtype=""Push Product Top""><img alt="""" src=""images/E980E_E985E.png?$staticlink$"" title=""Le Designer"" /></a> <a class=""banner-link js-gtm-push"" href=""$httpsUrl('Search-Show', 'q', 'T839E')$"" data-gtm-pushtype=""Push Product Bottom""><img alt="""" src=""images/T839E_nav.png?$staticlink$"" title=""T839E"" /></a></p>"
"//catalog/category[attribute::category-id=""homme""]/display-name[attribute::xml:lang=""fr-FR""]";L'homme;Hombre
"//catalog/category[attribute::category-id=""homme""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez tout l'univers BaByliss For Men : solutions professionnelles pour le soin du cheveux, de la barbe et du corps !;Descubre todo el universo BaByliss Men: ¡soluciones profesionales para el cuidado del cabello, de la barba y del cuerpo!
"//catalog/category[attribute::category-id=""homme""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";BaByliss For Men : tondeuse professionnelle homme;BaByliss Men: cortapelos profesional para hombre
"//catalog/category[attribute::category-id=""kits-multi-usages-cheveux""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";L'entretien de toutes les zones du corps en un seul geste! Grâce à la tondeuse multi-fonction, optez pour la polyvalence et la performance professionnelle.;¡Para cuidar todas las zonas del cuerpo con un solo movimiento! Gracias al cortapelos multifunción, elige la polivalencia y el rendimiento de la herramienta profesional.
"//catalog/category[attribute::category-id=""kits-multi-usages-cheveux""]/display-name[attribute::xml:lang=""fr-FR""]";Tondeuses multi-usages;Cortapelos multiusos
"//catalog/category[attribute::category-id=""kits-multi-usages-cheveux""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos tondeuses multi-fonctions : tondeuse cheveux et barbe, tondeuse corps homme, tondeuse multifonction pro - Tout le soin de l'homme en 1 appareil !;Descubre nuestros cortapelos multiusos: cortapelos para cabello y barba, cortapelos para cuerpo hombre, cortapelos multifunción profesional. ¡Todo el cuidado para el hombre en un solo aparato!
"//catalog/category[attribute::category-id=""kits-multi-usages-cheveux""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Tondeuse multi-usage : découvrez notre gamme - BaByliss For Men;Cortapelos multiuso: descubre nuestra gama - BaByliss Men
"//catalog/category[attribute::category-id=""kits-multi-usages-corps""]/description[attribute::xml:lang=""fr-FR""]";Un résultat adapté à chaque zone du corps;Un resultado adaptado a todas las zonas del cuerpo
"//catalog/category[attribute::category-id=""kits-multi-usages-corps""]/display-name[attribute::xml:lang=""fr-FR""]";Tondeuses multi-usages;Cortapelos multiusos
"//catalog/category[attribute::category-id=""kits-multi-usages-corps""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos tondeuses multi-fonctions : tondeuse cheveux et barbe, tondeuse corps homme, tondeuse multifonction pro - Tout le soin de l'homme en 1 appareil !;Descubre nuestros cortapelos multiusos: cortapelos para cabello y barba, cortapelos para cuerpo hombre, cortapelos multifunción profesional. ¡Todo el cuidado para el hombre en una sóla herramienta!
"//catalog/category[attribute::category-id=""kits-multi-usages-corps""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Tondeuse multi-usage : découvrez notre gamme - BaByliss For Men;Cortapelos multiuso: descubre nuestra gama - BaByliss Men
"//catalog/category[attribute::category-id=""lisseur""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"Marre des frisottis et des mèches rebelles ? Adoptez une chevelure lisse <br />
et brillante avec nos fers à lisser. De l'usage quotidien à occasionnel,<br />
nos modèles s'adaptent à vos envies. Optez pour un modèle ionic<br />
pour un lissage impeccable <br />
Découvrez nos modèles à vapeur pour un lissage efficace et des cheveux <br/>protégés.";"¿Cansada del encrespamiento y de los mechones rebeldes? Consigue un pelo realmente liso y brillante <br />
y brillante con nuestra plancha. Para uso cotidiano u ocasional,<br />
nuestros modelos se adaptan a tus necesidades. Elige un modelo iónico<br />
para un alisado impecable <br />
Descubre nuestros modelos de vapor para un alisado eficaz y un cabello <br/>protegido."
"//catalog/category[attribute::category-id=""lisseur""]/description[attribute::xml:lang=""fr-FR""]";Un résultat irréprochable sur vos mèches;Un resultado impecable en tu pelo
"//catalog/category[attribute::category-id=""lisseur""]/display-name[attribute::xml:lang=""fr-FR""]";Les lisseurs;Planchas
"//catalog/category[attribute::category-id=""lisseur""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos fers à lisser : lisseur vapeur, fer à lisser professionnel ou lisseur boucleur - Finis les frisottis!;Descubre nuestras planchas: plancha de vapor, plancha profesional o plancha tenacillas - ¡Acabados que se mantienen sin encrespamiento!
"//catalog/category[attribute::category-id=""lisseur""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Fer à lisser / lisseur : Découvrez notre gamme - BaByliss;Plancha/alisador: Descubre nuestra gama - BaByliss
